Vendor Number,Category Name,Date,Sale (Dollars)
421,AMERICAN CORDIALS & LIQUEURS,02/24/2023,9571.45
306,CREAM LIQUEURS,05/12/2023,1350.00
785,IMPORTED DISTILLED SPIRITS SPECIALTY,09/08/2023,155.70
260,IMPORTED VODKAS,05/09/2023,5879.95
116,AMERICAN DISTILLED SPIRITS SPECIALTY,03/01/2023,242.25
747,STRAIGHT BOURBON WHISKIES,01/08/2023,50.64
085,SPECIAL ORDER ITEMS,03/07/2023,308.64
214,STRAIGHT RYE WHISKIES,06/07/2023,1817.25
346,TENNESSEE WHISKIES,01/09/2023,2464.50
380,AMERICAN BRANDIES,01/31/2023,357.00
434,100% AGAVE TEQUILA,05/16/2023,1200.00
434,CANADIAN WHISKIES,03/22/2023,1738.90
395,IRISH WHISKIES,06/13/2023,421.50
065,BLENDED WHISKIES,10/20/2023,6722.96
421,MEZCAL,10/31/2023,616.59
260,CANADIAN WHISKIES,02/13/2023,95509.39
451,WHITE RUM,06/20/2023,24.52
421,SCOTCH WHISKIES,07/26/2023,2495.73
260,CREAM LIQUEURS,03/23/2023,9958.52
085,100% AGAVE TEQUILA,05/23/2023,2969.58
115,AMERICAN VODKAS,06/06/2023,6847.20
642,STRAIGHT BOURBON WHISKIES,05/03/2023,708.75
065,AMERICAN VODKAS,01/18/2023,1559.25
130,IMPORTED CORDIALS & LIQUEURS,10/31/2023,2632.38
521,AMERICAN FLAVORED VODKA,07/19/2023,4250.82
297,IMPORTED CORDIALS & LIQUEURS,07/11/2023,130.44
259,IMPORTED CORDIALS & LIQUEURS,02/02/2023,758.64
391,BLENDED WHISKIES,08/04/2023,438.32
229,AMERICAN DRY GINS,02/10/2023,126.00
277,STRAIGHT BOURBON WHISKIES,02/02/2023,150.20
521,AMERICAN FLAVORED VODKA,09/06/2023,202.80
888,AMERICAN VODKAS,06/16/2023,153.00
421,AMERICAN BRANDIES,01/24/2023,8006.78
100,STRAIGHT BOURBON WHISKIES,05/01/2023,75.00
154,AMERICAN VODKAS,03/03/2023,84.96
421,CANADIAN WHISKIES,02/17/2023,8462.07
260,SCOTCH WHISKIES,04/18/2023,8715.96
380,WHITE RUM,04/18/2023,144.00
035,TEMPORARY & SPECIALTY PACKAGES,02/23/2023,809.88
260,CREAM LIQUEURS,01/09/2023,10348.55
368,STRAIGHT BOURBON WHISKIES,07/10/2023,780.90
434,NEUTRAL GRAIN SPIRITS,09/08/2023,3978.00
370,TEMPORARY & SPECIALTY PACKAGES,03/20/2023,132.30
772,IMPORTED DRY GINS,09/20/2023,180.00
338,TEMPORARY & SPECIALTY PACKAGES,09/21/2023,239.92
235,AGED DARK RUM,10/30/2023,368.28
260,IMPORTED VODKAS,10/22/2023,277.74
619,BOTTLED IN BOND BOURBON,05/11/2023,2486.25
342,100% AGAVE TEQUILA,03/22/2023,715.50
209,AMERICAN VODKAS,09/28/2023,552.42
370,MEZCAL,05/03/2023,128.88
368,100% AGAVE TEQUILA,08/31/2023,541.44
085,AMERICAN BRANDIES,06/22/2023,523.95
260,CANADIAN WHISKIES,04/20/2023,105907.05
368,STRAIGHT BOURBON WHISKIES,04/26/2023,120.00
454,WHISKEY LIQUEUR,06/29/2023,795.87
421,SPECIAL ORDER ITEMS,06/19/2023,22.49
346,TENNESSEE WHISKIES,07/14/2023,4913.25
065,COCKTAILS/RTD,06/20/2023,2894.10
451,WHITE RUM,02/23/2023,183.90
439,100% AGAVE TEQUILA,07/31/2023,324.00
297,AMERICAN DRY GINS,04/11/2023,319.92
421,100% AGAVE TEQUILA,07/31/2023,3824.09
439,100% AGAVE TEQUILA,05/05/2023,89.50
454,WHISKEY LIQUEUR,04/25/2023,795.87
305,AMERICAN DRY GINS,09/20/2023,135.00
085,AMERICAN BRANDIES,02/02/2023,293.31
259,STRAIGHT RYE WHISKIES,09/13/2023,636.75
917,TEMPORARY & SPECIALTY PACKAGES,07/13/2023,1123.50
259,SPICED RUM,03/01/2023,12038.20
085,100% AGAVE TEQUILA,01/19/2023,1665.79
